,Question,Answer
177060,"
   كل عين تعشق حليوة  وأنت حليوة في كل عين ❤
  ","

   ثانكس عيونك 💙💙
  
"
177061,"
   يسعد مساءك
  ","

   مساؤك أسعد
  
"
177062,"
   👏👏👏👏👏👏👐👐 لسا كمان دخبطلو ع الطوايل 😝😝
  ","
  😂😂😂😂😂
  
  المهم هرب بس رديت عليه
  "
177063,"
   هههههه 👏👏👏👏👏
بس مين هاد يلي شافك🙄
  ","

   شدي الزئفة كمان شوي😂
   
   ابصر مين 😂😂
  
"
177064,"
   ما أجملك يا مي
  ","
  👧
  "
177065,"
   Follow
  ","
  Back
  "
177066,"
   شفتك واخيرا
  ","

   هيييي 🎉🎊🎉
   
   زئفولو👏👏👏
  
"
177067,"
   ميييييي كنتي لابسي هاي اللبسة بالجامعة اليوم؟
  ","

   يب ليش؟
  
"
177068,"
   من كديش؟
  ","

   تويني فايف 😔💔
  
"
177069,"
   كم جبتي؟
  ","
  18
  "
177070,"
   اخدتي علامتك؟
  ","

   نعم للأسف من زمان
  
"
177071,"
   يبيي
  ","

   يا إمي!
  
"
177072,"
   ممكن متابعة
  ","

   يب
  
"
177073,"
   مااااي مساحة متل #ضحكتك تكون 😌
  ","

   بصراحة ما لفت انتباهي عالاسك غير هاد الانسر
  
"
177074,"
   شنو هالحلاوة كلها💙💙
  ","

   عبيب دلبي حلاوة عيونك😙
  
"
177075,"
   وشك بيفتح النفس 🍭
  ","

   اها
  
"
177076,"
   موفقه ،🌺
  ","

   ثانكس
  
"
177077,"
   شو رأيكم بطلاق المبكر 😂😂😂
  ","

   فنتاستيك عبلاستيك🐸
  
"
177078,"
   مساحة 😊
  ","

   رتابة النبض تخدعنا قد تبدو الحياة اكثر بساطة مما تبدو عليه أقل كلفة ..أقل وجعا😥
  
"
177079,"
   ~`~`🌸
  ","

   كيف تكون حيا رغم كل هذا الموت..!
   
   ان يتآمر كل من حولك بخبث لإفراغ قلبك الا من الحزن😔😓
  
"
177080,"
   FOLLOWED
  ","
  Back
  "
177081,"
   شو بتدرسي ؟
  ","

   طب اسنان
   
   مكتوب كلشي بالبيو😴
  
"
177082,"
   فولوو
  ","

   باك
  
"
177083,"
   اللهم كما غمرتنا بنعمك فاغمر قلوبنا بشكرك وكما سترتنا بحلمك فوفقنا إلى طاعتك وكما أنعمت اللهم علينا بالإيمان فلا تحرمنا الجنان اللهم أدخل على قلبي المسرة والفرح يا من لصدر المُصطفى الهادي شرح ويا من إذا ناداه عبد مذنب لينال عفوعن إساءته صفح فاغفر لنا ما مضى يا كريم يا واسع الكرم 
#حبيت أسعدك بدعوة ❤
  ","

   اللهم آمين آمين
   
   الله يسعدك💙
   
   والك بالمتل🌸
  
"
177084,"
   مسآحة 🌸
  ","

   كل اللحظات معه مدهشة كل الحماقات التي ارتكبتها معه احبها وإن كانت لا تغتفر ..نختلف كثيرا كثيرا جدا الا ان كل ما احتاجه منه لأكون بخير...نظرة💙
  
"
177085,"
   انت يلي بتسالي 👀
  ","
  -،-
  "
177086,"
   تابعتك🌸❤
  ","

   بادلتك
  
"
177087,"
   شو مالك شو بتوكيل انتي شو دربل وآدلب
  ","

   اخدت كتير عالوضع انت👋👋
  
"
177088,"
   يلعن نيون
  ","

   عفوا؟!
  
"
177089,"
   مرحبا
بكتبلي الاسك: لقد قمت بأنتهاك خصوصيات الموقع اكثر من مرة توقف عن ذلك الان وإلى سيتم حظر حسابك 
شو يعني وشو الحل 
يلي بعرف يساعدني رجاءً
  ","

   في اكتر من سبب
   
   اما اكتر من حد عاملك ريبورت
   
   او بتكون تسأل كتير بأنون
   
   او تسأل/ي حالك😅 او تحطي لايكات لحالك
   
   او تسأل اسئلة وما حد يجاوب عليها 👀
  
"
177090,"
   ابعتيه بس مو ع نفس السؤال تاعي عشانً ما يُبين
  ","
  -،-
  "
177091,"
   آدلف شو يعني
  ","

   يعني درمل
   
   شئلب
  
"
177092,"
   بلييز احكيله ما يحط تنوين ما اله علاقة بسياق الحكي نرفزني😂
  ","

   😂😂سامع يا هاذا
  
"
177093,"
   YESحمض لويس -عم ادرس كيميا فهاي الشغلة مهمة ولازم ابصمها فهيك ببصمها وبفيدكم معي:)
  ","

   وانا بدرس كيميا💔💔
  
"
177094,"
   كيف ماكوً شي
  ","

   ياخي روح اذلف 😴
  
"
177095,"
   CO2 حمض لويس //كيف ليش بعرفش
  ","

   اشي مختلف عليه هههه
  
"
177096,"
   متابعيني بدي شوف مساحة طالعة من القلب
بدي أعملها سكرين شوت 
وانزلها ع صفحتي يلا ابدعو 🌸🌸🌸♥✏ 
🎼--__-_--*_*✏✏
  ","

   التناقضات التي نحملها كلفتني الكثير بالبداية ...هو الذي كانت صداقتي معه مهاودة ناجحة تحسب لصالح القدر ، حين ألقيت بقلبي على روح لا أعرفها جيدا ، ولم يخب ظني به ❤
  
"
177097,"
   مش ضروري تجاوبي عشانً يببنً اليوزر
  ","

   والا شو اعمل 😕
  
"
177098,"
   شبيتش عيني
  ","

   ماكو شي هههه
  
"
177099,"
   😔😔😔💔
  ","
  😥😓
  "
177100,"
   .
  ","
  ،
  "
177101,"
   ممم كيف ما ادري
  ","

   تشذي
  
"
177102,"
   محلاكي يا مي
  ","

   تشوك تشكرات
  
"
177103,"
   يعنيً افهم من كلامك انو single
  ","

   مادري
  
"
177104,"
   ههههاي
  ","
  !
  "
177105,"
   عفوا
  ","
  🌚
  "
177106,"
   حطيتي بقلبي وجاااع💔💔💔
  ","

   انت أكتر حد عارف شنو اللي فيني 😔
  
"
177107,"
   ماي جرادات ايم بروكين #مساحة 😂😂😂
  ","

   احسن من توست؟😅
   
   وجاء يسألني على استحياء ان كنت أذكره
   
   فقلت وهل ينسى المبتور جزءا منه فارقه؟!🙀
  
"
177108,"
   يا امً عيونً وساعً
  ","
  👀🙈
  "
177109,"
   فهمت عليكي مشالله كلك زووقمشً قليله طلعتي
  ","

   تسلم ☺
  
"
177110,"
   حبيت اتطمن عنك مي
  ","

   ثانك يو
  
"
177111,"
   لو رجع فيكم الزمن بتدرسوا بالأمريكية ولا مش ندمانين؟
  ","

   لسة ما شفت خيرها من شرها بت آي اكسبكت انو نو
  
"
177112,"
   كيف امورك ؟
  ","

   والله الحمدلله
  
"
177113,"
   كيفك مي؟
  ","

   الحمدلله
  
"
177114,"
   ب مساحتكً المعبرهً
  ","

   إنو مو ضروري بس بيعجبوني😉
  
"
177115,"
   افحمتينيً                                                              لانو شكلك عشتي قصه حب قويه
  ","

   انداري
  
"
177116,"
   يسعد مساكم 😘
مساحة كجمال قلوبكم😍😌
  ","

   لا علاقة حب بيننا لكن أحب حديثك وأهتم بك وأتمنى رؤيتك وأغار عليك وأراقب نومك وصحوتك لكني لا أريدك حبيب...فالأحبة راحلون 《《♤》》
  
"
177117,"
   صراحه
  ","

   عفوا؟
  
"
177118,"
   مسا الفل
  ","

   مسا النور
  
"
177119,"
   بدّي مساحه                                            💕💕قد ما تكون حلوه أخدها وانزلها ع الفيس بوك
  ","

   هل من الغباء أن نظل نحب مت لا يكترث لأمرنا في النهاية ؟!
   
   أو..هل يستحق الراحلون بمحض إرادتهم أن نعلق قلوبنا بهم؟!
   
   هل تطغى مساحات الغفران على مرارة الوجع الذي يسببه الغياب؟!..😔
  
"
177120,"
   مساحةة'ةة متل عيونكك""〰❣❣
  ","

   بين غروب وآخر ، قد تموت فينا أوطان..
   
   _وتحيا أخرى
   
   -الأوطان لا تولد من جديد..!
   
   _ليس نفسها بالضرورة.
  
"
177121,"
   يسعد مساكو ...^^
مساحه
  ","

   سماها وطنا واغترب عنها...
   
   علمها كيف تكتب، ورحل قبل أن يقرأ ديوانها الأول !..
  
"
177122,"
   يسلمولي هالذنين😂
  ","

   اليوم ايدي ماخدة عالبلوك عفكرة
  
"
177123,"
   يسلمولي هالعيون 😍
  ","
  ،،،،،-
  "
177124,"
   ماااي يسعدك #مساحة 😁😌
  ","

   والله يا علاء
   
   انهم يريدون ان يفتحوا العالم وهم عاجزين عن فتح كتاب ..
  
"
177125,"
   خفي علينا😍
  ","
  Ok!
  "
177126,"
   لأناقة عقلك وجمال حروفك___✏💖
  ","

   إنك ثابت بقلبي كشجره جذورها إحتضنت الارض مُنذ ألف سنة.
  
"
177127,"
   شو هالحلاوة 😍😘
  ","
  Untic
  "
177128,"
   هههه الله بعين 
بطل حد يستحي 🙄
  ","

   اه والله بجم😂
  
"
177129,"
   هههههه عرفتو 😂😂😂
كان مجنني زمان 
ولغيت الفلو عنو وبطلت ارد ع اسئلتو 
هاد عنا من الجامعة!!
  ","

   اه وانا ببعتلي كل فترة رخيص هه اكل بلوك 😋😝
   
   مشعارفة والله ما بهم
   
   بس ما بتوقع
  
"
177130,"
   تابعتك
  ","
  Back
  "
177131,"
   ميين
  ","

   بعتلك اسمو
  
"
177132,"
   ههههههه مالك معصبة
بلييز كوني لتيفة مع الانون😝😝
  ","

   بطل أنون عرفتو وأكل بلوك
   
   وآخرتني ماسحة الأرض فيه
  
"
177133,"
   اهلا فيكي 😂😂
  ","
  ☺😊
  "
177134,"
   اخدتي علامتك؟
  ","

   لا
  
"
177135,"
   بس السوال مني
  ","

   اوك بلوك للكل اريح 😉00100
  
"
177136,"
   عشووو
  ","

   يزم خلص بحكي شئلب/ي
  
"
177137,"
   ايش بتعملي😂
  ","

   في كندرة ببعتلي بأنون بس اشرشحو بحكيلك 😉
  
"
177138,"
   وين ساكنه
  ","

   مش شغلك
  
"
177139,"
   شغلك
  ","

   طيب
  
"
177140,"
   اها وين عايشه مانتي جردات يعني بالسيله بس شكلك عايشه برا السيله
  ","

   اه براتها باجيها بالمناسبات
  
"
177141,"
   اه والله ايش دخلني 😅😅😅
  ","
  💅
  "
177142,"
   بايش فشيتي غلك ؟
  ","

   مش شغلك
  
"
177143,"
   شو بتعملي
  ","

   مش شغلك
  
"
177144,"
   ايش عم تعملي
  ","

   مش شغلك
  
"
177145,"
   انتي من السيله الحارثيه ؟؟؟
  ","

   لا
   
   بس الي معارف فيها
  
"
177146,"
   كيف الجو عندكم ..
  ","

   بيعنس
  
"
177147,"
   كيفكو
  ","

   نشكر الله
  
"
177148,"
   مسا الورد
  ","

   مسا النور
  
"
177149,"
   مضلش خير بالمسات 😞 حسستك انك مرتدة
  ","

   لأنو مو مستواي هيكا وبشارك معها
   
   بس بعد المحاضرة فشيت غلي😔😔👿
  
"
177150,"
   بدك حفلة على ال١٨
  ","

   المس نفسها تدبحني كانت 🙀🙀
   
   وحكتلي بكرا اراجعها 🙀
  
"
177151,"
   قلبي معك 💔😔😔
يلعن ابو الجامعات بس فكيها😔
  ","

   رابطتها من هون لإشعار آخر😔🙀
  
"
177152,"
   ولاو😔😔
معلش بتعوضي بالسكند ما تزعلي💔😔😔
  ","

   بدي اسبوع اكتئاب
   
   يلا باي😔
  
"
177153,"
   من قديش!💔
  ","

   تويني فايف 😔😔😔
  
"
177154,"
   كم!!
  ","
  18😔😓
  "
177155,"
   كيف معنوياتك للبيو؟😕
  ","

   عجبت ولككك
  
"
177156,"
   اه اه 😂 منتي مش فاهمة القصة ردي علي بس
  ","

   اها
  
"
177157,"
   نزلت فيديو ع صفحتي ع الفيس بوك ههههه انا بمثل فيه 😂 يا ريت تدخلو وتشوفوه اسمي ع الفيس براء البرغوثي بس بدون مسبات 😂😂😂
  ","

   يعني اروح افتح فيسبوك
   
   وادور على اسمك واحضرو ؟
  
"
177158,"
   شسسمگ احكي""""〰❣❣
  ","

   ان علي ان اتوقف عن اخبارهم انهم مجرد بشر لا اكثر وان عليهم ان يضعوا ساعات على قلوبهم ليدركوا مدى قصر الحياة وعدم جدواها....~
  
"
177159,"
   Song 🎼
  ","
  Leilah...Farah siraj
  "
177160,"
   كيفك
  ","

   الحمدلله
  
"
177161,"
   بكرا بدك تروحي عالاداب؟
  ","

   اه
  
"
177162,"
   معناها 12ونص بتكوني مخلصة دوام
  ","

   هيك اشي
  
"
177163,"
   شو بتدرسي
  ","

   طب اسنااااااااان 😢
  
"
177164,"
   ايمتا بتبلشي دوام nt
  ","
  8
  "
177165,"
   انتي بضلك بالكلية؟
  ","

   بالآداب والآي تي
  
"
177166,"
   احلا كلية طب الاسنان 
محدا بيجي عندهم ولا بروحو عند بعض 
تقولي في تقاطع بين صلة الرحم😅😅
  ","

   انداري ما جربت تا اعرف 🙃🙃🙃
  
"
177167,"
   Hhhhh klaab☺😏
  ","
  Mn b3dk bb
  "
177168,"
   خليها واتساب لعاد 👌🏻ومنعمل جروب مع س
  ","

   هههههه اوك 👌👏😂
  
"
177169,"
   ههههه ماشي منشوف بكرا 
صحيح ايمتا امتحان القانون؟
  ","
  Lessa mo m7dd
  "
177170,"
   Wtlkub:شور how:هاتيلك ابب
  ","
  Ok snap or fb not important
  
  W bn3ml team vs sarah hhh😅
  "
177171,"
   رح اراجعك واشوف 
Im so habey😊😊
  ","
  I hope😊
  "
177172,"
   خديها مني يمين 
غير تجيبي علامة ممنيحه 
ورح اراجعك بكرا متل هاد الوقت
  ","

   راجعني وبتشوف/ي حتصيرIm so broken 😔💔💔
  
"
177173,"
   Im broken 
حكيتلك قبل فترة شيليها ولا تحزني 
مافي شي مستاهل
  ","

   بكرا علامة البيو
   
   بعدها بقرر اشيلها او اخليها💔😣
  
"
177174,"
   ""مساء مخصص للزعلانين والمشتاقين والواقفين على عتبات الانتظار، مساء ال: يارب يتعدل حال هالقلب ويفرح.""
-❤🌼
  ","

   بيننا وبين ما نحب مسافة ودعاء
   
   مساء الخير💙
  
"
177175,"
   ليش بتلطمي يا ليلى
  ","
  ؟
  "
177176,"
   على بركة الله ازن😂😅😅😅
  ","

   روحي موتي بس اعطل بنروح😐😴
  
"
177177,"
   Ah 3l22al😂😂
Lestine next Monday, I will go to a NNU😂💪💪💪💔
  ","

   اه حبيبي ماشي بكب محاضرات وباجي اركد😴😴
  
"
177178,"
   انا ولحد معجب فيكي. بس مستحي اظهر اعجابي
  ","

   ازن كوبع☺
  
"
177179,"
   بهمش يا ليلى
  ","
  🙀🙀🙀
  "
177180,"
   مساآحة
  ","

   أليس من حق المشتاق
   
   ..لقاء ونظرة عناق!!😓
  
"
177181,"
   لو سمحتي إحفظي حقوق النشر 😂🌚
  ","

   روحي موتي 😹😹
   
   نزلتلك صورة على السناب😂
  
"
177182,"
   ßIC🌹💔
  ","
  Hello!✋✋
  "
177183,"
   فش ابصر في سبب !؟
  ","

   الوضع تعبان يا ليلى🙀
  
"
177184,"
   كيف تكون طريقتكم في مصارحة الي تحبوهم بحبكم لهم ؟ غير انكم تقولوا كلمة احبك ؟
  ","

   الاهتمام ...غفر الزلات التي تغتفر
   
   بحاول كون جنبهم طول الوقت واقعيا ومعنويا
   
   التركيز على  ادق تفاصيل الحياة 😌
  
"
177185,"
   صباح الخير لكل مكافح قطع نومته وترك تخته لأجل هالمستقبل اللي مش مبينله راس من رجلين ..
  ","

   😂😂وصلتني
   
   صباح الخير
  
"
177186,"
   مصريه انتي؟
  ","

   لا فلسطينية☺
  
"
177187,"
   followed
  ","

   باك
  
"
177188,"
   منتي كنتي الصبح مي وعادي شو الي خلاكي بروكن باخر الليل
  ","

   ابصر
  
"
177189,"
   حبي الأول والوحيد😂😂😂
اسم كيوت😂
  ","
  Pretty 😍😍😂
  "
177190,"
   ليش ما نحكي لكل حدا بنحبو بحبك
  ","

   انا بحكي ما عندي مشكلة 😌
  
"
177191,"
   انت ئولي بخاف اتفنس😂😂😂
  ","

   لا تراي بيب 😝يو هاف تلات محاولات😁
  
"
177192,"
   اي تينك اي نو هير😂😂💔💔💔
  ","

   مين😂
  
"
177193,"
   اي نو اي نو😂
كبي كلشي بوجه الاعداء😈
  ","

   بكب بكب بيب 😅 وفي سترونغ بوووم محضريتها لهالوحدة👿
  
"
177194,"
   انت اذا كتمتي بتنفجري😂😂😂💔💔
خلص سكتت😂🙊🙊
  ","

   😂😂 وك يو نووو ازا سكتت هيكا جسمي بيضل يحكني يحكني لحتى اكب كلشي 😅💔
  
"
177195,"
   فضفضه 🆚 كتمان 🙇🏻🔕؟
  ","

   كتمان 🙊🔇
  
"
177196,"
   البعض لا يفهمك ليس لصعوبتك بل لانك اكثر بساطة مما يتوقعون 😇
  ","

   ببساطة..
   
   لم التق بأناس بسطاء في حياتي ابدا !
  
"
177197,"
   لايكاتك 😍
  ","

   شيكل على اللايك
  
"
177198,"
   ﺳﻴﻔﻬﻤﻚ ﺷﺨﺼﺎﻥ،،
ﺷﺨﺺ ﻣﺮ ﺑﺤﺎﻟﺘﻚ، ﻭ ﺷﺨﺺ ﻳﺤﺒﻚ!!!
و انا من سيفهمني
  ","

   الله يفهم الجميع
   
   فوالله لا يفهمك سواه ولا يحن عليك سواه
  
"
177199,"
   لا ما حيصير الا كل خير🌚🌚🌚
  ","

   طيب بعتلك سناب من شوي أوبن إت 😽
  
"
177200,"
   تعالي خرفيني عن مبارح 🌚🌚🌚🌚
  ","

   بتستفردي فيي 😔😓
  
"
177201,"
   كيف ممكن انه العرب يطورو 😓
  ","

   مين حكى انهم رجعيين؟!
  
"
177202,"
   ئديش كان في ناس ع المفرئ تنطر ناس ويحملو شمسيه وانا بأيام الصحو ما حدا نطرني 😌😪🙈
صباحكو فيروز 😌💙
  ","

   صباح الخير😔
  
"
177203,"
   جونايدن يا بيب
  ","

   جونايدن هيآتم
  
"
177204,"
   (فَلَا تَقُلْ لَهُمَا أُفٍّ وَلَاتَنْهَرْهُمَا) لا ترهقوا آباءكم بعصيانكم .. فوالله إن دمعة واحدة .. تجري على خد أم .. أو لحية شيب أب .. كفيلة بإغراقكم في ظلمات الحياة .. 
صباح الخير 💜 ✌
يا رضا الله ورضا الوالدين ❤☝
  ","

   صباح النور
  
"
177205,"
   ماشي يا مي ❤
  ","

   عبيبي👌😘
  
"
177206,"
   احكي بسرعة شو بلاش جنازتك تطلع اليوم 😂😂😂
  ","

   اسأليها😂😂😂😂
   
   جوالي شئلب
   
   بحكيلك تمورو نايتي بيب
   
   وذ اوت بلوك بليز😂😂💔💔
  
"
177207,"
   مدلل روحي مدلل 
عادي بيب ما انعجقت واللهي :|
اي دونت كير باي ذا واي:|||
  ","

   ههههه آي ويل تراي اصدق يو 😝
  
"
177208,"
   هههههههههه ايش يا كلبة حرام عليكِ
  ","

   لا والف لا
   
   يا مدلل 😂
  
"
177209,"
   هههههه يس يس
  ","

   ايوااا خدلك انعجقت البنت😂
  
"
177210,"
   -
بشكِل لا إرادي بيستَخدم الإنسان كَلِمات الشخص إللّي بِحبو 🙈❤.
_كلمه تعلمتها من شخص تحبه😊❤
  ","

   اووورييي😂
  
"
177211,"
   Tbh:أخوي حبيبي وماي انتيم💙
بحبك من هون للقمر روحة رجعة ،الحدن اللي موش ممكن استغني عنه،نفس العقل نفس الأفكار الشريرة ونفس التفكير 😂😂💔
قد ما ححكي مش حخلص المهم عارفة حالك شنو 💙🙊
  ","

   دا انتا فعنيا 😍
   
   كل اللي ليا 😍
   
   يبب آي كنو 😘
  
"
177212,"
   انا ادّعى بالنكد السلبي والكئيب , وانت ماذا تدعيني؟
وماذا انت تدّعى ؟
  ","

   لا اريد البوح لك بما ادعوك
   
   بينما ما يدعونني
   
   فأيضا لا اريد البوح لك به
   
   هه ☺
  
"
177213,"
   شفيك يا بعد قلبي😔😔💔
كيف عملتي بالبيو؟💔
  ","

   يا خيبتي بس😔 ويا وجع قلبي 💔
  
"
177214,"
   لا عادي يقلبي مو مشكله 
خلص لعاد بكره 🙈
وتاني شي ممكن تضحكي ياخي والله ما بحب شوفك منكده 😭
  ","

   اوك
  
"
177215,"
   صفحتك بايخة عفكرة
  ","

   على أساس اني فاتحيتها ملاهي مشان تتسلو !
  
"
177216,"
   شكلك نسيتيني 😂
ع فكره اليوم السبت !
ما بعتيلي الصوره😭💔
  ","

   ياخي بتعرف انو مو مجمعة تزكرتك
   
   بس ما لحقت بكرة عندي بريك بعملك ياها
  
"
177217,"
   10 likes 
بردهم 😊
  ","
  -،-
  "
177218,"
   ابو الجرادات 🌸
طمنيني كيف كان امتحانكك 😍
  ","

   آيم ديبريسد😔💔
  
"
177219,"
   صباح الخير .. ^^
  ","

   صباح الخيرات
  
"
177220,"
   صاحبة الأكاونت توفت قبل ساعتين ادعولها
   
    @FayzahLove
   
","

   طيب
  
"
177221,"
   نعيب زماننآ والعيبُ فينآ.

ومآ لزماننآ عيبٌ سوآنآ.^^
صباح الخير🙈
  ","
  Morning
  "
177222,"
   Followed wrbna 😍
  ","
  6aieb
  "
177223,"
   كل آشي بصير لحكمة'ة و خير 😔'💔 ،،
آلله يصبّرنآ لنشوف هآلحكمة'ة #يَـآ_رَبّ 😊 ~
صصبآحح الخخير
  ","

   صباح الخيرات
  
"
177224,"
   ماااي مساحة متل عيونك ♥
  ","
  😎👊
  "
177225,"
   -
  ","

   لتلك الأحلام التي لا نبوح بها لأحد
  
"
177226,"
   سمة بدن 
طيب مرة بنت اسمها مي بس كبرت صارت حليب 

وتن ترارارن تن تن 😂😂
  ","

   مرة واحد اسمو انون بس تناغش صار بلوك
  
"
177227,"
   تعاطوا الإسمنت ... لبناء مستقبل أفضل !

-
  ","

   ئشطاآ
  
"
177228,"
   مرة وحدة اسمها بتول ، بس كبرت صارت بالعرض 😂💔
  ","

   نكتة والا سمة بدن؟
  
"
177229,"
   حاول انك تصدق:
يقولون اذا عشق الرجل امراة ثم مات...ماتت جميع النساء
في عينه 😌😆😝
  ","

   منيح ازا بتزكر اسمو لما يموت ☺
  
"
177230,"
   ربيّ اكتُب لنا يوما جميلا أسعدنا بتفاصيلهُ
واغمُرنا بخيرك الذي لآ يفْنى ..♡

يسعد صباحك ..🌸
  ","

   اللهم آمين
   
   صباح الخير 💙🌸
  
"
177231,"
   عادي احكي معك ... بس بلا تخويث , بصير؟
  ","

   ابسوليوتلي يس
   
   بس اكيد مو برايفت😀
  
"
177232,"
   -
  ","

   ماذا أدس في افواههم حين يتحدثون عني وعنك؟
   
   انه لم يتخلى عني من اجل انثى اخرى
   
   هو تركني من اجل لا شيء..
  
"
177233,"
   تابعتكك 😉
  ","

   بادلتك
  
"
177234,"
   شو مستني من شعب بسرق مسبحة عشان يوحد الله !!
  ","

   وشو مستني من شعب بيحكي للدبانة يا كلبة ؟!
  
"
177235,"
   ايوه هيك اضحكي 
انا بحبش الناس الي بتكون متضايقه ف بحاول انشر السعاده
  ","

   الله يسعدك☺
  
"
